id,question1,question2,is_duplicate
0,Secondary Diagnosis:,M51.26,1
1,What is your medical condition?,Male,0
2,Language Preferences,English,1
3,"If claim is for a child, please state your relationship to the child",Short Term Disability,0
4,[Optional Employee selected benefit],,0
5,Are you currently self-employed,No,1
6,State,(456) 672-5040,0
7,Address,565 Coal Valley Rd,0
8,First Name,03-11-18,0
9,Are you related to this patient?,21-0046005,0
10,through (mm/dd/yy):,,0
11,Diagnosis:,03-11-18,0
12,Part Time (mm/dd/yy),,0
13,"If yes, as of what date? (mm/dd/yy)",Blank,1
14,Printed Name,617-54-1889,1
15,"Name of Patient (Last Name, Suffix, First Name, MI)",Vaginal C-Section,0
16,"If you have not returned to work, when do you expect to return?",Yes,0
17,Facility Name,,0
18,please initial here,Arlington Heights,0
19,"If yes, what is the relationship?",'S',1
20,"If yes, as of what date? (mm/dd/yy)",03 12 18,1
21,Telephone Number,MD,0
22,"Insured's Name (Last Name, Suffix, First Name, MI)",,0
23,Actual Delivery Date (mm/dd/yy,"LARKIN , MATTHEW J.",1
24,Where and how did the injury occur?,At work co-worker push back on me while turning shoulder,1
25,Date of Hire (mm/dd/yy),Yes,0
26,"Employee Name (Last Name, Suffix, First Name, MI)",,0
27,Is this condition the result of his/her employment,Blank,0
28,The State in which you work,MARGARITA,0
29,Zip,60005,1
30,Were there any complications causing your patient to stop working prior to her expected delivery date?,,0
31,Date you were first treated by a physician (mm/dd/yy),04-13-17,0
32,Actual Delivery Date (mm/dd/yy):,L 4-5 disc herniation resulting in R Ls radiculopathy,0
33,Contingent beneficiary,192-78-2587,0
34,Where there any complications causing you to stop work prior to your expected delivery date?,06 13 83,1
35,Secodary ICD Code:,09/18/18,0
36,City,TX,1
37,Employee's Name (Last Name,565 Coal Valley Rd,0
38,CURRENT LIMITATIONS (activities patient cannot do),04-20-17,0
39,Are you related to this patient?,560 SOUTH LOOP ROAD,0
40,Address,04-13-17,1
41,"Employee/Individual's Name (Last Name, Suffix, First Name, MI)",,0
42,Facility Name,Yes,0
